"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"l1_regio";"l1_fairbez";"l1_umweltziel";"l1_divinkl";"l1_recycling";"l1_vegan";"l1_transpa";"l1_qual";"l1_kauf";"l2_regio";"l2_fairbez";"l2_umweltziel";"l2_divinkl";"l2_recycling";"l2_vegan";"l2_transpa";"l2_qual";"l2_kauf";"l_regio";"l_fairbez";"l_umweltziel";"l_divinkl";"l_recycling";"l_vegan";"l_transpa";"l_qual";"l_kauf";"grund_regio";"grund_fairbez";"grund_umweltziel";"grund_divinkl";"grund_recycling";"grund_vegan";"grund_preilei";"grund_transpa";"grund_qual"
"1243";"weiblich";NA;NA;"33";NA;"a1";"Grün";"3";"2";"3";"3";"3";"3";"3";"3";"4";"3";"3";"3";"3";"3";"3";"3";"3";"4";"3,0";"2,5";"3,0";"3,0";"3,0";"3,0";"3";"3,0";"4,0";"1";"1";"1";"1";"1";"1";"2";"1";"1"
"1240";"möchte ich nicht angeben";"Ja";"Abitur, Hochschulreife";"20";"10";"a4";"Grün";"3";"3";"3";"3";"3";"3";"3";"3";"5";"3";"3";"3";"3";"3";"3";"3";"3";"5";"3,0";"3,0";"3,0";"3,0";"3,0";"3,0";"3";"3,0";"5,0";"2";"2";"1";"1";"1";"1";"2";"1";"1"
"1255";NA;"Ja";"Abitur, Hochschulreife";"19";NA;"a1";"Blau";"3";"3";"3";"3";"3";"3";"3";"3";"5";"3";"3";"3";"3";"3";"3";"3";"3";"5";"3,0";"3,0";"3,0";"3,0";"3,0";"3,0";"3";"3,0";"5,0";"1";"1";"2";"1";"1";"1";"1";"1";"1"
"1260";NA;"Ja";"Abitur, Hochschulreife";"26";NA;"a5";"Grün";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"4";"3";"3";"3";"3";"3";"3";"3,0";"3,0";"3,5";"3,0";"3,0";"3,0";"3";"3,0";"3,0";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"1267";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Blau";"3";"3";"4";"2";"4";"4";"2";"5";"5";"1";"2";"3";"4";"2";"2";"3";"3";"5";"2,0";"2,5";"3,5";"3,0";"3,0";"3,0";"2";"4,0";"5,0";"1";"1";"1";"1";"2";"1";"2";"1";"2"
"1274";"weiblich";"Ja";"Abitur, Hochschulreife";"18";NA;"a1";"Blau";"2";"1";"1";"1";"4";"1";"1";"2";"3";"1";"1";"1";"1";"1";"1";"1";"1";"3";"1,5";"1,0";"1,0";"1,0";"2,5";"1,0";"1";"1,5";"3,0";"2";"1";"1";"1";"1";"1";"2";"1";"2"
"1282";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"12";"a2";"Grün";"4";"3";"4";"2";"4";"3";"3";"4";"4";"2";"3";"4";"4";"4";"3";"3";"4";"4";"3,0";"3,0";"4,0";"3,0";"4,0";"3,0";"3";"4,0";"4,0";"1";"1";"1";"2";"1";"1";"2";"1";"2"
"1289";"männlich";"Ja";"Abitur, Hochschulreife";"26";"13";"a5";"Grün";"2";"3";"4";"2";"4";"2";"3";"4";"3";"4";"3";"5";"4";"5";"5";"3";"4";"2";"3,0";"3,0";"4,5";"3,0";"4,5";"3,5";"3";"4,0";"2,5";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"1295";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"04";"a4";"Blau";"4";"3";"4";"2";"4";"4";"3";"3";"4";"4";"4";"3";"4";"4";"4";"3";"4";"1";"4,0";"3,5";"3,5";"3,0";"4,0";"4,0";"3";"3,5";"2,5";"1";"2";"2";"1";"1";"1";"1";"1";"2"
"1303";NA;NA;NA;NA;NA;"a4";"Grün";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0";"0,0";"0,0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"1306";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"14";"a2";"Blau";"2";"2";"2";"2";"2";"2";"2";"4";"3";"2";"2";"1";"1";"2";"2";"2";"4";"3";"2,0";"2,0";"1,5";"1,5";"2,0";"2,0";"2";"4,0";"3,0";"1";"1";"2";"1";"1";"1";"2";"1";"2"
"1312";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"27";"10";"a5";"Blau";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3,0";"3,0";"3,0";"3,0";"3,0";"3,0";"3";"3,0";"3,0";"1";"1";"1";"1";"1";"1";"2";"1";"2"
"1319";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"27";"10";"a5";"Grün";"3";"3";"4";"3";"4";"4";"3";"3";"5";"4";"3";"4";"3";"4";"4";"4";"3";"5";"3,5";"3,0";"4,0";"3,0";"4,0";"4,0";"3";"3,0";"5,0";"1";"1";"1";"1";"1";"1";"2";"1";"2"
"1325";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"13";"a4";"Blau";"4";"4";"2";"3";"4";"3";"2";"5";"5";"2";"3";"2";"2";"2";"1";"2";"2";"3";"3,0";"3,5";"2,0";"2,5";"3,0";"2,0";"2";"3,5";"4,0";"1";"2";"2";"1";"1";"1";"2";"1";"1"
"1335";NA;NA;NA;NA;NA;"a5";"Grün";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0";"0,0";"0,0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"1339";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"26";"a5";"Blau";"3";"4";"4";"3";"3";"2";"3";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"5";"3,0";"3,5";"3,5";"3,0";"3,0";"2,5";"3";"3,5";"4,0";"1";"2";"2";"1";"1";"2";"1";"1";"1"
"1334";"männlich";"Ja";"Abitur, Hochschulreife";"19";"26";"a5";"Grün";"3";"2";"4";"2";"4";"4";"2";"2";"3";"2";"5";"5";"4";"5";"5";"5";"4";"2";"2,5";"3,5";"4,5";"3,0";"4,5";"4,5";"2";"3,0";"2,5";"1";"1";"1";"2";"1";"1";"2";"1";"2"
